Symbol	GeneID	log2FoldChange	padj	pvalue	EnsemblGeneID
ATG9A	79065	-4.5867418	6.99e-100	2.34e-102	ENSG00000198925
TOMM7	54543	-3.4641993	6.99e-100	2.32e-102	ENSG00000196683
YBX1	4904	-6.4873986	3.18e-99	1.09e-101	ENSG00000065978
TRAPPC3	27095	-5.2654367	8.73e-99	3.06e-101	ENSG00000054116
CTR9	9646	-3.795092	3.29e-98	1.18e-100	ENSG00000198730
TGFBR1	7046	-7.0608284	3.64e-98	1.33e-100	ENSG00000106799
ERP29	10961	-5.9431312	4.51e-97	1.69e-99	ENSG00000089248
CCNI	10983	-3.1909682	1.64e-96	6.26e-99	ENSG00000118816
GORASP2	26003	-6.6646151	7.99e-96	3.18e-98	ENSG00000115806
SKIC2	6499	-4.0249425	2.69e-95	1.09e-97	ENSG00000204351
PHF10	55274	-3.752982	3.49e-94	1.45e-96	ENSG00000130024
CMAS	55907	-3.3598045	1.04e-93	4.37e-96	ENSG00000111726
LDB1	8861	-3.8862088	1.2e-93	5.16e-96	ENSG00000198728
TSG101	7251	-2.8043954	1.21e-93	5.29e-96	ENSG00000074319
GABARAPL1	23710	-3.2803178	1.24e-93	5.51e-96	ENSG00000139112
MRPL15	29088	-4.5309943	2.94e-93	1.33e-95	ENSG00000137547
SURF4	6836	-2.3617432	4.1e-93	1.9e-95	ENSG00000148248
TRAPPC4	51399	-7.4071915	1.14e-92	5.35e-95	ENSG00000196655
NNMT	4837	-5.4312341	1.39e-92	6.65e-95	ENSG00000166741
ZFR	51663	-6.3872502	2.95e-92	1.46e-94	ENSG00000056097
PES1	23481	-2.9285432	2.95e-92	1.45e-94	ENSG00000100029
SLC37A3	84255	-3.7021749	6.64e-92	3.33e-94	ENSG00000157800
ACAA2	10449	-2.3242859	7.15e-92	3.65e-94	ENSG00000167315
RPS9	6203	-3.2536431	8.89e-92	4.6e-94	ENSG00000170889
DR1	1810	-4.3838539	9.12e-92	4.8e-94	ENSG00000117505
MAP2K1	5604	-2.1335869	1.1e-91	5.87e-94	ENSG00000169032
NAE1	8883	-3.9181096	1.37e-91	7.41e-94	ENSG00000159593
MED19	219541	-3.6368317	1.5e-91	8.25e-94	ENSG00000156603
AP3B1	8546	-3.4475663	2.67e-91	1.49e-93	ENSG00000132842
SNX6	58533	-5.2953458	2.96e-91	1.68e-93	ENSG00000129515
TM9SF2	9375	-4.3600423	1.56e-90	8.93e-93	ENSG00000125304
XBP1	7494	-4.3822301	1.73e-90	1.01e-92	ENSG00000100219
HINT1	3094	-3.2527402	3.57e-90	2.11e-92	ENSG00000169567
ARPC3	10094	-4.997501	2.04e-89	1.22e-91	ENSG00000111229
TTC14	151613	2.3455799	6.16e-89	3.73e-91	ENSG00000163728
MRPL22	29093	-4.2867422	7.43e-89	4.56e-91	ENSG00000082515
KLHL36	79786	-4.0428406	1.21e-88	7.51e-91	ENSG00000135686
SLC39A3	29985	-2.8594031	1.28e-88	8.05e-91	ENSG00000141873
SMIM14	201895	-2.8946319	2.23e-88	1.42e-90	ENSG00000163683
SARS1	6301	-3.662613	5.41e-88	3.49e-90	ENSG00000031698
VDAC3	7419	-3.9193482	8.59e-88	5.61e-90	ENSG00000078668
TMEM181	57583	-3.1543908	9.96e-88	6.59e-90	ENSG00000146433
BTBD1	53339	-4.0162711	1.21e-87	8.09e-90	ENSG00000064726
EMC7	56851	-2.8918041	2.51e-87	1.7e-89	ENSG00000134153
ETF1	2107	-5.5120043	2.92e-87	2e-89	ENSG00000120705
UBE2B	7320	-4.3938967	5.42e-87	3.76e-89	ENSG00000119048
RPL6	6128	-4.4046099	8.93e-87	6.26e-89	ENSG00000089009
LEO1	123169	-6.230787	5.73e-86	4.07e-88	ENSG00000166477
PPP3CA	5530	-5.8422857	1.86e-85	1.33e-87	ENSG00000138814
TFRC	7037	-4.0324797	3.47e-85	2.52e-87	ENSG00000072274
FUBP1	8880	-4.3777545	6.68e-85	4.9e-87	ENSG00000162613
APPL1	26060	-4.5550182	6.75e-85	5e-87	ENSG00000157500
SRRM1	10250	-3.6758568	9.22e-85	6.91e-87	ENSG00000133226
SPTAN1	6709	-3.6355468	2.63e-84	1.99e-86	ENSG00000197694
GRINA	2907	-3.3461869	3.19e-84	2.44e-86	ENSG00000178719
RALGAPB	57148	1.5124569	8.02e-84	6.2e-86	ENSG00000170471
PIK3R2	5296	-4.5895206	9.31e-84	7.27e-86	ENSG00000105647
IST1	9798	-3.1788831	9.41e-84	7.42e-86	ENSG00000182149
SPATS2L	26010	-4.017745	2.02e-83	1.61e-85	ENSG00000196141
ZFYVE9	9372	-2.5556668	2.26e-83	1.84e-85	ENSG00000157077
RPL19	6143	-2.3116059	2.26e-83	1.84e-85	ENSG00000108298
SSR2	6746	-4.2000247	4.52e-83	3.71e-85	ENSG00000163479
IFI35	3430	-4.2481648	4.79e-83	3.97e-85	ENSG00000068079
SEC24A	10802	-6.3689703	5.67e-83	4.74e-85	ENSG00000113615
OPTN	10133	-4.9897625	8.52e-83	7.19e-85	ENSG00000123240
STK38	11329	-4.4678529	2.02e-82	1.72e-84	ENSG00000112079
RPL26	6154	-2.4998138	4.2e-82	3.62e-84	ENSG00000161970
PAIP1	10605	-4.5609788	4.73e-82	4.11e-84	ENSG00000172239
GNPTG	84572	-3.6455141	4.86e-82	4.26e-84	ENSG00000090581
EPRS1	2058	-4.2735527	8.01e-82	7.08e-84	ENSG00000136628
ANKIB1	54467	-4.6439742	9.67e-82	8.63e-84	ENSG00000001629
CTNNA1	1495	-2.6380578	1.23e-81	1.11e-83	ENSG00000044115
M6PR	4074	-2.9887803	1.28e-81	1.16e-83	ENSG00000003056
WASF1	8936	-2.8833207	2.77e-81	2.54e-83	ENSG00000112290
NAP1L1	4673	-4.683003	2.96e-81	2.74e-83	ENSG00000187109
HAX1	10456	-2.0104364	3.95e-81	3.68e-83	ENSG00000143575
MPRIP	23164	-5.8785041	4.06e-81	3.82e-83	ENSG00000133030
STAT3	6774	-2.9950464	5.82e-81	5.52e-83	ENSG00000168610
RPL28	6158	-2.1296651	7.46e-81	7.13e-83	ENSG00000108107
WHAMM	123720	-4.1837826	3.57e-80	3.5e-82	ENSG00000156232
YARS1	8565	-3.7690812	7.34e-80	7.25e-82	ENSG00000134684
MXRA7	439921	-6.2050755	1.28e-79	1.27e-81	ENSG00000182534
TSPAN17	26262	-4.6029238	1.32e-79	1.32e-81	ENSG00000048140
RPL15	6138	-3.0829261	1.4e-79	1.42e-81	ENSG00000174748
UBE2H	7328	-4.6958897	2.36e-79	2.41e-81	ENSG00000186591
MRPL36	64979	-3.5361094	2.4e-79	2.47e-81	ENSG00000171421
MRPS35	60488	-6.97122	3.5e-79	3.63e-81	ENSG00000061794
MPZL1	9019	-3.3951135	1.04e-78	1.09e-80	ENSG00000197965
CBX5	23468	-3.0932798	1.38e-78	1.45e-80	ENSG00000094916
API5	8539	-3.8509414	2.57e-78	2.72e-80	ENSG00000166181
TIMM44	10469	-4.1246769	2.79e-78	2.98e-80	ENSG00000104980
TTLL1	25809	-3.3530667	3.32e-78	3.57e-80	ENSG00000100271
IP6K1	9807	-3.2747061	3.84e-78	4.16e-80	ENSG00000176095
TMEM167B	56900	-2.2182696	5.22e-78	5.69e-80	ENSG00000215717
MID2	11043	-5.3716042	7.79e-78	8.57e-80	ENSG00000080561
C15orf61	145853	-4.8458612	9.68e-78	1.07e-79	ENSG00000189227
YARS2	51067	-2.696393	1.14e-77	1.27e-79	ENSG00000139131
MRPS30	10884	-5.7716447	1.84e-77	2.07e-79	ENSG00000112996
ESD	2098	-5.7052499	2.19e-77	2.48e-79	ENSG00000139684
ANKRD12	23253	-3.0989777	2.38e-77	2.71e-79	ENSG00000101745
NBR1	4077	1.5985899	3.69e-77	4.24e-79	ENSG00000188554
USP10	9100	-2.9949423	3.85e-77	4.45e-79	ENSG00000103194
WDR47	22911	-3.9876025	5.42e-77	6.3e-79	ENSG00000085433
ASH2L	9070	-5.0209913	8.34e-77	9.77e-79	ENSG00000129691
CREB3	10488	-2.4547787	8.8e-77	1.04e-78	ENSG00000107175
CNIH1	10175	-2.2616348	9.79e-77	1.16e-78	ENSG00000100528
ITM2C	81618	-4.2728799	2.73e-76	3.26e-78	ENSG00000135916
LRRC41	10489	-5.0715361	3.71e-76	4.46e-78	ENSG00000132128
MRPS7	51081	-3.9693391	4.51e-76	5.47e-78	ENSG00000125445
SERTAD2	9792	-3.0772807	7.32e-76	8.92e-78	ENSG00000179833
LANCL1	10314	-4.7842466	8.28e-76	1.02e-77	ENSG00000115365
SEC22A	26984	-5.2655749	1.9e-75	2.38e-77	ENSG00000121542
BLOC1S1	2647	-3.1986639	1.9e-75	2.38e-77	ENSG00000135441
FUS	2521	-7.6389461	3.4e-75	4.29e-77	ENSG00000089280
ST6GALNAC6	30815	-4.2057725	3.8e-75	4.82e-77	ENSG00000160408
PRKCSH	5589	-3.8729896	5.85e-75	7.46e-77	ENSG00000130175
LDHB	3945	-3.0419003	9.21e-75	1.18e-76	ENSG00000111716
NIP7	51388	-2.6025863	9.62e-75	1.24e-76	ENSG00000132603
NSMCE3	56160	-4.054162	1e-74	1.3e-76	ENSG00000185115
TIMM8B	26521	-5.8907416	1.91e-74	2.5e-76	ENSG00000150779
PLCG1	5335	-2.7224627	1.93e-74	2.53e-76	ENSG00000124181
CAPZA2	830	-4.0166331	2.29e-74	3.04e-76	ENSG00000198898
RARA	5914	-4.3714873	2.5e-74	3.33e-76	ENSG00000131759
MRPL44	65080	-5.8804946	3.19e-74	4.27e-76	ENSG00000135900
SRSF5	6430	-2.6219122	6.04e-74	8.14e-76	ENSG00000100650
PGM1	5236	-3.2773275	7.48e-74	1.01e-75	ENSG00000079739
DCUN1D5	84259	-4.7571198	1.14e-73	1.55e-75	ENSG00000137692
RABEPK	10244	-4.5948698	1.47e-73	2.01e-75	ENSG00000136933
SBF2	81846	-2.7747137	1.48e-73	2.04e-75	ENSG00000133812
ARPC1A	10552	-4.5793407	1.56e-73	2.17e-75	ENSG00000241685
NUP43	348995	-3.0061142	3.2e-73	4.47e-75	ENSG00000120253
MDH1	4190	-4.7805326	4.02e-73	5.64e-75	ENSG00000014641
CLP1	10978	-3.6345332	4.56e-73	6.44e-75	ENSG00000172409
PRCP	5547	-5.4009952	5.23e-73	7.42e-75	ENSG00000137509
VDAC2	7417	-2.858426	7.47e-73	1.07e-74	ENSG00000165637
SKIC3	9652	-5.4779918	9.04e-73	1.3e-74	ENSG00000198677
RPL5	6125	-3.0021233	1.22e-72	1.76e-74	ENSG00000122406
ERCC3	2071	-2.3626911	1.34e-72	1.94e-74	ENSG00000163161
EDEM1	9695	-3.9485414	4.95e-72	7.26e-74	ENSG00000134109
EEF1B2	1933	-2.3026295	5.2e-72	7.67e-74	ENSG00000114942
BLVRA	644	-5.5063951	5.39e-72	7.99e-74	ENSG00000106605
ARSJ	79642	-5.799556	6.78e-72	1.01e-73	ENSG00000180801
NIT2	56954	-5.6776953	6.86e-72	1.03e-73	ENSG00000114021
PSAT1	29968	-5.4391399	9.75e-72	1.47e-73	ENSG00000135069
ATP6V0A1	535	-4.8517085	1.25e-71	1.89e-73	ENSG00000033627
SLC23A2	9962	-5.091289	1.85e-71	2.82e-73	ENSG00000089057
DUT	1854	-3.6879454	1.92e-71	2.95e-73	ENSG00000128951
RSL24D1	51187	-5.1759859	2.13e-71	3.29e-73	ENSG00000137876
CLDND1	56650	-4.548713	2.38e-71	3.7e-73	ENSG00000080822
XRN2	22803	-6.6219263	2.58e-71	4.02e-73	ENSG00000088930
KMT2A	4297	-5.4196987	2.91e-71	4.57e-73	ENSG00000118058
IMMT	10989	-2.134627	2.92e-71	4.61e-73	ENSG00000132305
PTPRF	5792	-4.4931645	4.6e-71	7.3e-73	ENSG00000142949
UTP14A	10813	-5.1922059	4.79e-71	7.64e-73	ENSG00000156697
ATP6AP2	10159	-2.2938535	8.13e-71	1.3e-72	ENSG00000182220
NCL	4691	-5.1066297	1.06e-70	1.7e-72	ENSG00000115053
ACTR10	55860	-3.468766	1.06e-70	1.72e-72	ENSG00000131966
PDCD2	5134	-4.3670342	1.55e-70	2.53e-72	ENSG00000071994
GLTP	51228	-5.6103395	2.1e-70	3.42e-72	ENSG00000139433
PRMT2	3275	-3.4908539	2.73e-70	4.48e-72	ENSG00000160310
PPA2	27068	-3.7103389	4.42e-70	7.29e-72	ENSG00000138777
DOCK7	85440	-2.8235597	5.57e-70	9.24e-72	ENSG00000116641
PPP1CC	5501	-5.1767315	6.88e-70	1.15e-71	ENSG00000186298
SLC25A38	54977	-3.8567811	7.52e-70	1.26e-71	ENSG00000144659
PTP4A1	7803	-5.9039838	1.05e-69	1.78e-71	ENSG00000112245
AHSA1	10598	-3.9850285	1.4e-69	2.37e-71	ENSG00000100591
TLK2	11011	-1.9831487	2.07e-69	3.52e-71	ENSG00000146872
CANX	821	-5.126557	2.55e-69	4.36e-71	ENSG00000127022
PSMG2	56984	-6.5298791	2.72e-69	4.68e-71	ENSG00000128789
SRSF11	9295	2.6319669	3.57e-69	6.17e-71	ENSG00000116754
MDH2	4191	-2.7563198	4.07e-69	7.07e-71	ENSG00000146701
TMEM256	254863	-4.9285774	4.45e-69	7.77e-71	ENSG00000205544
SPATA5	166378	-3.877333	4.62e-69	8.09e-71	ENSG00000145375
SLC35A3	23443	-4.9509653	4.89e-69	8.61e-71	ENSG00000117620
LNPK	80856	-4.533938	8.35e-69	1.48e-70	ENSG00000144320
GTF2H4	2968	-3.2192804	9.6e-69	1.71e-70	ENSG00000213780
ATXN2	6311	-5.3022992	9.97e-69	1.78e-70	ENSG00000204842
GOLGB1	2804	-4.413074	1.69e-68	3.03e-70	ENSG00000173230
ATP8B1	5205	-4.8253885	1.84e-68	3.32e-70	ENSG00000081923
WASF2	10163	-3.9501614	1.87e-68	3.39e-70	ENSG00000158195
CLIP4	79745	-4.5084795	1.96e-68	3.55e-70	ENSG00000115295
TUSC2	11334	-4.6249258	2.22e-68	4.05e-70	ENSG00000114383
PTPN12	5782	-4.6169084	2.67e-68	4.89e-70	ENSG00000127947
TNKS	8658	-5.4645576	2.77e-68	5.1e-70	ENSG00000173273
TFB2M	64216	-4.814525	2.77e-68	5.13e-70	ENSG00000162851
VMP1	81671	-3.1281925	1.03e-67	1.93e-69	ENSG00000062716
IFT46	56912	-4.3389342	1.36e-67	2.54e-69	ENSG00000118096
POMK	84197	-2.7007526	1.48e-67	2.78e-69	ENSG00000185900
NACA	4666	-5.9183025	1.58e-67	2.98e-69	ENSG00000196531
FBXO38	81545	-5.8819884	1.6e-67	3.04e-69	ENSG00000145868
RPL8	6132	-6.109114	4.51e-67	8.62e-69	ENSG00000161016
FZD2	2535	-4.1143186	6.46e-67	1.24e-68	ENSG00000180340
FJX1	24147	-4.7582597	8.45e-67	1.63e-68	ENSG00000179431
CPSF4	10898	-2.6371526	9.85e-67	1.91e-68	ENSG00000160917
ATP10D	57205	-5.0977718	2.11e-66	4.1e-68	ENSG00000145246
AATF	26574	-2.7898351	2.5e-66	4.88e-68	ENSG00000275700
GNAI1	2770	-4.6815981	3.27e-66	6.4e-68	ENSG00000127955
ZMAT2	153527	-3.2078883	3.27e-66	6.45e-68	ENSG00000146007
PAICS	10606	-3.2749649	6.46e-66	1.28e-67	ENSG00000128050
UFL1	23376	-5.9572638	7.69e-66	1.53e-67	ENSG00000014123
SNRPF	6636	-2.1572299	7.88e-66	1.57e-67	ENSG00000139343
MBD6	114785	-4.8349722	8.83e-66	1.77e-67	ENSG00000166987
GABARAP	11337	-3.3836011	9.17e-66	1.84e-67	ENSG00000170296
IAH1	285148	-1.7682152	9.77e-66	1.97e-67	ENSG00000134330
ZMPSTE24	10269	-5.2253962	1.61e-65	3.26e-67	ENSG00000084073
PSMD2	5708	-3.0380208	1.92e-65	3.91e-67	ENSG00000175166
RGMB	285704	-4.6398932	2.3e-65	4.7e-67	ENSG00000174136
SOX12	6666	-5.7438774	2.44e-65	4.99e-67	ENSG00000177732
RABGEF1	27342	-3.7043917	2.49e-65	5.12e-67	ENSG00000154710
UTRN	7402	-4.1703689	2.65e-65	5.47e-67	ENSG00000152818
HNRNPA2B1	3181	-4.3745557	2.67e-65	5.54e-67	ENSG00000122566
EIF2B1	1967	-3.7574772	4.01e-65	8.34e-67	ENSG00000111361
CAPRIN1	4076	-3.0195874	4.94e-65	1.03e-66	ENSG00000135387
WDR55	54853	-2.2395324	6.54e-65	1.37e-66	ENSG00000120314
ATXN3	4287	1.7575376	9.57e-65	2.01e-66	ENSG00000066427
OTUD7B	56957	-1.9575451	9.84e-65	2.08e-66	ENSG00000264522
RPS20	6224	-3.0100898	1.17e-64	2.49e-66	ENSG00000008988
OSBP	5007	-6.064066	2.09e-64	4.44e-66	ENSG00000110048
LMNB2	84823	-4.6355365	3.16e-64	6.74e-66	ENSG00000176619
TENT4A	11044	-2.9400368	4.2e-64	8.99e-66	ENSG00000112941
CS	1431	-4.0569635	5.98e-64	1.29e-65	ENSG00000062485
CHERP	10523	-2.7185079	7.39e-64	1.6e-65	ENSG00000085872
PLRG1	5356	-3.7304807	8.51e-64	1.84e-65	ENSG00000171566
TMEM65	157378	-4.30216	9.85e-64	2.14e-65	ENSG00000164983
TDRD3	81550	-2.9270145	1.49e-63	3.26e-65	ENSG00000083544
MDM2	4193	-3.9062761	2.18e-63	4.77e-65	ENSG00000135679
TFCP2	7024	-5.5023458	2.2e-63	4.83e-65	ENSG00000135457
LRCH3	84859	-3.0349912	2.26e-63	4.99e-65	ENSG00000186001
SEC13	6396	-2.9794267	2.51e-63	5.56e-65	ENSG00000157020
BTG1	694	-4.0594664	3.09e-63	6.87e-65	ENSG00000133639
ZNF384	171017	-3.101372	3.78e-63	8.44e-65	ENSG00000126746
SNX12	29934	-5.3155294	3.98e-63	8.91e-65	ENSG00000147164
MTRR	4552	-5.6669099	4.29e-63	9.65e-65	ENSG00000124275
AXL	558	-4.2307768	4.61e-63	1.04e-64	ENSG00000167601
RPS6KC1	26750	-3.3265281	9.38e-63	2.12e-64	ENSG00000136643
SERF1B	728492	-5.0025785	1.36e-62	3.08e-64	ENSG00000205572
ALG9	79796	-3.7084576	1.36e-62	3.09e-64	ENSG00000086848
PARD3	56288	-3.6507734	1.6e-62	3.65e-64	ENSG00000148498
METAP2	10988	-3.4895787	2.25e-62	5.17e-64	ENSG00000111142
HSPB11	51668	-3.5645219	2.38e-62	5.49e-64	ENSG00000081870
KLC2	64837	-4.9671022	2.41e-62	5.56e-64	ENSG00000174996
COQ7	10229	2.8286381	2.51e-62	5.82e-64	ENSG00000167186
MAP2K3	5606	-4.399069	2.81e-62	6.54e-64	ENSG00000034152
NDUFAB1	4706	-2.6934386	2.81e-62	6.57e-64	ENSG00000004779
TRIP4	9325	-1.9773856	2.83e-62	6.62e-64	ENSG00000103671
SKI	6497	-3.1253068	3.21e-62	7.56e-64	ENSG00000157933
GNL1	2794	-3.2219691	3.41e-62	8.05e-64	ENSG00000204590
UPF3A	65110	2.0572215	3.79e-62	8.97e-64	ENSG00000169062
PHF5A	84844	-3.3349507	3.92e-62	9.31e-64	ENSG00000100410
RAP1A	5906	-2.8357712	4.34e-62	1.03e-63	ENSG00000116473
RPS3A	6189	-2.9820185	4.86e-62	1.16e-63	ENSG00000145425
RBM42	79171	-3.7687262	4.86e-62	1.17e-63	ENSG00000126254
DPM1	8813	-1.5221937	4.93e-62	1.19e-63	ENSG00000000419
RWDD1	51389	-2.46804	5.97e-62	1.44e-63	ENSG00000111832
USP24	23358	1.6893325	6.95e-62	1.68e-63	ENSG00000162402
STOML2	30968	-2.3669623	7.37e-62	1.79e-63	ENSG00000165283
POLR3C	10623	-2.6245899	7.99e-62	1.95e-63	ENSG00000186141
PELO	53918	-3.1986229	8.3e-62	2.03e-63	ENSG00000152684
VRK1	7443	-5.4504941	8.94e-62	2.19e-63	ENSG00000100749
SAE1	10055	-4.3137723	1.01e-61	2.48e-63	ENSG00000142230
STAT1	6772	-3.1643529	1.21e-61	2.98e-63	ENSG00000115415
VPS8	23355	-3.266422	1.68e-61	4.17e-63	ENSG00000156931
MORF4L2	9643	-6.9225307	1.74e-61	4.34e-63	ENSG00000123562
REEP3	221035	-5.696929	1.86e-61	4.64e-63	ENSG00000165476
GIGYF1	64599	1.6405159	1.9e-61	4.77e-63	ENSG00000146830
SLC25A32	81034	-2.2627301	1.96e-61	4.91e-63	ENSG00000164933
PGRMC2	10424	-3.7286106	2.38e-61	5.99e-63	ENSG00000164040
SULF2	55959	-5.9594038	2.43e-61	6.14e-63	ENSG00000196562
FECH	2235	-5.7462724	2.86e-61	7.26e-63	ENSG00000066926
PSMA1	5682	-1.9031724	3.06e-61	7.78e-63	ENSG00000129084
NGF	4803	-3.6581431	3.58e-61	9.12e-63	ENSG00000134259
RNF167	26001	-3.9288675	3.59e-61	9.17e-63	ENSG00000108523
ENOPH1	58478	-2.7040498	4.77e-61	1.22e-62	ENSG00000145293
LYPLAL1	127018	-3.6073422	8.48e-61	2.18e-62	ENSG00000143353
UBB	7314	-2.0428079	1.18e-60	3.04e-62	ENSG00000170315
AK2	204	-7.0301673	1.19e-60	3.07e-62	ENSG00000004455
TRAM1	23471	-2.882225	1.2e-60	3.12e-62	ENSG00000067167
MYADM	91663	-3.2020781	1.43e-60	3.72e-62	ENSG00000179820
GFPT1	2673	-2.0636095	1.71e-60	4.47e-62	ENSG00000198380
LATS1	9113	1.6211954	1.71e-60	4.47e-62	ENSG00000131023
PRR14L	253143	-4.6728511	4.64e-60	1.22e-61	ENSG00000183530
TCP11L1	55346	-3.5370124	4.84e-60	1.28e-61	ENSG00000176148
PDZD11	51248	-1.746837	5e-60	1.32e-61	ENSG00000120509
ABCF1	23	-1.8975367	5.1e-60	1.35e-61	ENSG00000204574
MYO5A	4644	2.1125373	5.43e-60	1.45e-61	ENSG00000197535
PITHD1	57095	-5.9336538	7.02e-60	1.87e-61	ENSG00000057757
MTG1	92170	-3.8028144	8.35e-60	2.24e-61	ENSG00000148824
PRPF4	9128	-3.5025915	1.12e-59	3.01e-61	ENSG00000136875
ASPH	444	-4.8570682	1.26e-59	3.39e-61	ENSG00000198363
RTL8A	26071	-3.2313844	1.75e-59	4.73e-61	ENSG00000203950
PRXL2C	195827	-5.2525377	2.17e-59	5.89e-61	ENSG00000158122
SEC11A	23478	-5.28703	2.23e-59	6.05e-61	ENSG00000140612
RAD17	5884	-4.6772777	6.25e-59	1.7e-60	ENSG00000152942
MRPL3	11222	-3.0690211	9.48e-59	2.59e-60	ENSG00000114686
ARHGEF11	9826	-4.7802763	9.73e-59	2.67e-60	ENSG00000132694
ALDH9A1	223	-2.7898533	1.14e-58	3.13e-60	ENSG00000143149
ST7	7982	-4.8641806	1.37e-58	3.77e-60	ENSG00000004866
ABI2	10152	-2.6267567	1.76e-58	4.87e-60	ENSG00000138443
SGCB	6443	-4.2054463	1.79e-58	4.96e-60	ENSG00000163069
TPI1	7167	-4.526677	2.23e-58	6.2e-60	ENSG00000111669
UCHL3	7347	-6.6077346	2.52e-58	7.03e-60	ENSG00000118939
VTI1B	10490	-3.118055	2.99e-58	8.36e-60	ENSG00000100568
DPP3	10072	-3.2109341	3.31e-58	9.3e-60	ENSG00000254986
HNRNPLL	92906	-4.3816341	3.97e-58	1.12e-59	ENSG00000143889
FEZ2	9637	-3.269315	4.75e-58	1.34e-59	ENSG00000171055
NSDHL	50814	-4.2076605	4.97e-58	1.4e-59	ENSG00000147383
MAPKAP1	79109	-2.7527763	7.6e-58	2.15e-59	ENSG00000119487
ELOA	6924	-3.2637944	7.61e-58	2.17e-59	ENSG00000011007
HPRT1	3251	-4.9972549	7.94e-58	2.26e-59	ENSG00000165704
C14orf119	55017	-4.2801314	8.58e-58	2.45e-59	ENSG00000179933
FMC1-LUC7L2	100996928	1.3986144	1.1e-57	3.18e-59	ENSG00000269955
SERF1A	8293	-5.0192845	1.11e-57	3.19e-59	ENSG00000172058
SESN1	27244	-4.2266509	1.26e-57	3.65e-59	ENSG00000080546
SERTAD3	29946	-4.653972	1.33e-57	3.86e-59	ENSG00000167565
SNUPN	10073	-5.8712194	1.64e-57	4.77e-59	ENSG00000169371
TMBIM6	7009	-2.2807413	1.68e-57	4.89e-59	ENSG00000139644
NAPA	8775	-4.3511202	1.87e-57	5.46e-59	ENSG00000105402
RRP36	88745	-3.2032427	3.39e-57	9.95e-59	ENSG00000124541
SET	6418	-1.9038925	4.67e-57	1.38e-58	ENSG00000119335
MTPN	136319	-3.020264	5.21e-57	1.55e-58	ENSG00000105887
ZC3H7A	29066	-3.3609742	7.63e-57	2.27e-58	ENSG00000122299
ARRDC3	57561	-3.3562078	8.91e-57	2.66e-58	ENSG00000113369
